Unnamed: 0,Country/Continent,Arrivals,gdp_per_capita,gdp,inflation,unemployment,Under 1 week,1 and under 2 weeks,2 weeks and under 1 month,1 and under 2 months,2 and under 3 months,3 and under 6 months,6 and under 12 months,Convention/conference,Business,Visiting friends/relatives,Holiday,Employment,Education,Other & not stated,FLTS IN,PAX IN,SEATS IN,FLTS OUT,PAX OUT,SEATS OUT,Exchange Rate/TWI,date,TWI,FX_neg,TWI_est
2751,Austria,1130,45061.4993920192,393687359770.273,0.891591752655362,6.064,0.3261150878802273,0.3008403086045635,0.166489213582532,0.0659470261593146,0.0325803862471129,0.0526953758456322,0.0553326016806172,0.0319256978115581,0.0852607784038789,0.2521130913379635,0.5080100904206526,0.0302221202987812,0.0443585375442274,0.048109684182938,,,,,,,63.8,2016-04-01,63.8,-4.155753190350744,63.8
2752,Austria,730,45061.4993920192,393687359770.273,0.891591752655362,6.064,0.3604049660065031,0.2965932604197457,0.1494420632574638,0.0610220218740762,0.0316102571681939,0.0496600650310375,0.0512673662429796,0.0314439846290274,0.1049364469405852,0.2334651197162282,0.5061336092225835,0.0336979012710611,0.0357485959207803,0.0545743422997339,,,,,,,61.7,2016-05-01,61.7,-4.122283930911342,61.7
2753,Austria,690,45061.4993920192,393687359770.273,0.891591752655362,6.064,0.30457419784892,0.2964671122561118,0.1689876952456447,0.0842055956906336,0.0384816329471958,0.0546237411497648,0.0526600248617291,0.0250238708631343,0.0864395481650962,0.2659304231898679,0.5001711495847371,0.0360495072693534,0.0450213486587277,0.0413641522690831,,,,,,,62.5,2016-06-01,62.5,-4.135166556742356,62.5
2754,Austria,1830,45061.4993920192,393687359770.273,0.891591752655362,6.064,0.2422392355192936,0.277669116208891,0.2052725697840118,0.0891754449691245,0.0292408281874318,0.079312079130459,0.0770907262007879,0.0258878426332113,0.0689038531392327,0.2135712090307077,0.4812651932157926,0.0326916091536505,0.1355444410293665,0.0421358517980385,,,,,,,63.3,2016-07-01,63.3,-4.147885329150131,63.3
2755,Austria,1260,45061.4993920192,393687359770.273,0.891591752655362,6.064,0.3125573448919543,0.2998386433385009,0.1902901256050874,0.0587528079222956,0.0263391020976366,0.0589584585693042,0.0532635175752206,0.0266400898549349,0.0819609890370651,0.2286871371395124,0.5387183016151741,0.0310062803537247,0.049973897774192,0.0430133042253966,,,,,,,63.2,2016-08-01,63.2,-4.146304301152812,63.2
2756,Austria,1420,45061.4993920192,393687359770.273,0.891591752655362,6.064,0.2974113283362955,0.3078587435283208,0.1788424387605285,0.068140020091183,0.0316822502125029,0.0562553125724441,0.0598099064987249,0.0350519287833827,0.0752658259149357,0.2605712166172106,0.5087784371909001,0.0367365232443125,0.041604846686449,0.0419912215628091,,,,,,,63.9,2016-09-01,63.9,-4.157319361383489,63.9
2757,Austria,2210,45061.4993920192,393687359770.273,0.891591752655362,6.064,0.3066919572933281,0.2787285712232903,0.19670647066431,0.0715034990156773,0.0361828397350232,0.0570619764049949,0.053124685663376,0.031454312933772,0.0810713721207592,0.2318911384765709,0.4970902245915538,0.045780466426221,0.0590432945842254,0.0536691908668975,,,,,,,65.0,2016-10-01,65.0,-4.174387269895637,65.0
2758,Austria,1710,45061.4993920192,393687359770.273,0.891591752655362,6.064,0.3337397135019811,0.279377130032418,0.1767753733617799,0.0701837023080546,0.0380981408107284,0.0545703915103488,0.0472555484746889,0.0302841389246775,0.088663535735561,0.247509801476802,0.5332557527395647,0.0309352617652355,0.0321682390590582,0.0371832702991008,,,,,,,65.3,2016-11-01,65.3,-4.178992036282385,65.3
2759,Austria,2580,45061.4993920192,393687359770.273,0.891591752655362,6.064,0.2095498596512795,0.2633536173089925,0.3067285430368595,0.113713196877497,0.0352818243284774,0.040701128936423,0.0306718298604708,0.0112996086626918,0.0330178048230786,0.3438338762882373,0.5285000102444322,0.0287868543446636,0.0276907001044932,0.0268711455324031,,,,,,,63.9,2016-12-01,63.9,-4.157319361383489,63.9
2760,Austria,1830,47163.7425775142,414926138132.691,2.08126911385587,5.561,0.2466332407906186,0.2727938231191038,0.2117985055042196,0.0883437616541664,0.0390060636196632,0.061492562051962,0.079932043260266,0.0223204419889502,0.0557596685082872,0.2146823204419889,0.5420441988950276,0.0484944751381215,0.0813812154696132,0.035317679558011,,,,,,,65.8,2017-01-01,65.8,-4.186619838331271,65.8
