Month,Under 1 week,1 and under 2 weeks,2 weeks and under 1 month,1 and under 2 months,2 and under 3 months,3 and under 6 months,6 and under 12 months,Total (Duration of stay in days),Convention/conference,Business,Visiting friends/relatives,Holiday,Employment,Education,Other & not stated,Total (Reason for Journey)
2008-02-01,172950,124150,100740,49660,15630,35160,48120,546410,17140,59610,105780,263350,18200,61420,20920,546410
2008-03-01,169830,123010,114120,42910,13950,24060,25830,513720,16570,57040,128140,249830,16260,26940,18930,513720
2008-04-01,149700,110530,80750,32560,13050,18710,19010,424310,14690,60040,103650,195880,15670,15970,18420,424310
2008-05-01,148820,100060,63110,24820,10680,16760,15780,380020,16070,52910,86300,181720,13440,11770,17810,380020
2008-06-01,126270,90660,75240,36140,16800,19840,17500,382460,13890,47910,90270,177860,15770,17510,19250,382460
2008-07-01,130390,129380,138020,52740,14280,34730,30920,530450,39090,51890,90310,220680,15830,58030,54620,530450
2008-08-01,141650,104120,90350,27980,9830,23590,21230,418750,17790,50660,91950,203000,15250,21150,18950,418750
2008-09-01,124310,101390,81580,33180,12850,22450,24250,400010,17060,48080,100930,186240,16670,14000,17030,400010
2008-10-01,145400,107430,98930,38690,16180,24350,24770,455740,18090,54720,105030,222970,15950,18260,20730,455740
2008-11-01,158750,112650,90650,39910,19000,27620,21770,470350,15060,54320,115950,236290,16070,12970,19690,470350
2008-12-01,132560,135660,191800,86590,22240,25590,17360,611800,8970,31150,206550,318910,17800,11900,16530,611800
2009-01-01,110310,113260,88820,46740,19110,31490,42150,451880,7020,34080,99750,227960,19990,41330,21760,451880
2009-02-01,139300,102610,97130,47790,16060,40390,58490,501770,11960,47890,109860,225520,16810,68430,21310,501770
2009-03-01,151330,119010,101510,43590,14930,26730,29750,486840,12800,54170,123890,232880,16150,27750,19200,486840
2009-04-01,136290,129370,94950,34370,13880,21620,22350,452830,9700,39360,130530,219070,15060,20440,18660,452830
2009-05-01,126310,105070,67440,26420,10800,19070,17820,372920,12330,43580,101410,171320,13640,13620,17010,372920
2009-06-01,102470,97310,72150,36260,15210,19010,19880,362280,11190,41940,97620,162300,13240,18740,17250,362280
2009-07-01,107720,103600,107510,50810,14620,37840,36860,458960,15870,44110,112860,188240,13970,61040,22880,458960
2009-08-01,127730,112580,87680,29330,10010,23550,22270,413160,17350,45770,99420,193880,15330,21300,20110,413160
2009-09-01,128100,124850,85110,35160,12060,25430,26590,437290,15630,44650,115930,207650,15640,16820,20980,437290
2009-10-01,143330,124990,102630,42900,17370,27380,26210,484820,16820,48930,121730,236840,15490,21340,23670,484820
2009-11-01,153600,121480,96190,42850,20090,28360,22670,485250,16750,56660,128760,232460,14920,15590,20110,485250
2009-12-01,134180,147000,205680,90990,23690,28210,19620,649360,9660,32060,229180,328580,16760,13940,19180,649360
2010-01-01,114440,94360,91910,46970,20410,35200,45440,448710,7350,40930,106320,205940,18970,46970,22230,448710
2010-02-01,155160,135510,102420,49230,16250,41680,59880,560130,14010,54210,118060,261620,17680,73170,21380,560130
2010-03-01,161950,126000,113590,47230,14890,28950,33720,526330,14290,58740,139360,243320,16870,31690,22060,526330
2010-04-01,141480,121310,77980,31280,12880,22180,21790,428900,14650,47370,117600,195900,14750,19250,19380,428900
2010-05-01,138840,96050,63370,26650,11620,20270,18170,374960,14780,56420,93300,165930,13450,13240,17830,374960
2010-06-01,127620,106980,75530,35660,16070,21650,20190,403700,18920,46650,103480,181850,14690,20170,17940,403700
2010-07-01,129670,124030,107340,53150,16790,41340,38610,510930,20110,49020,111900,222430,15690,69080,22690,510930
2010-08-01,147630,122050,89770,31510,10820,26240,23290,451310,17750,53230,107370,214870,15000,23940,19150,451310
2010-09-01,145090,132500,91810,36260,14550,27470,28000,475680,18840,49810,121040,229220,16900,17870,22000,475680
2010-10-01,158180,125250,95670,42860,17320,27760,27430,494460,17530,56630,124060,236050,16380,19840,23980,494460
2010-11-01,178980,129970,92760,41880,20900,30060,23550,518090,20330,62930,131680,247050,16910,15980,23210,518090
2010-12-01,150920,150750,210550,93540,22920,28870,20810,678360,8830,37860,239650,340670,17280,14260,19810,678360
2011-01-01,128050,103040,94080,50120,20030,33570,44900,473780,7530,50490,109140,219150,20440,42520,24520,473780
