year_month,state,arrivals
2002-04,NT,4800
2002-04,WA,32980
2002-04,VIC,59230
2002-04,SA,7400
2002-05,NSW,133540
2002-05,QLD,97660
2002-05,TAS,1340
2002-05,ACT,2970
2002-05,NT,4790
2002-05,WA,30000
2002-05,VIC,53780
2002-05,SA,5850
2002-06,NSW,126950
2002-06,QLD,117080
2002-06,TAS,1800
2002-06,ACT,3220
2002-06,NT,5340
2002-06,WA,30660
2002-06,VIC,49000
2002-06,SA,5340
2002-07,NSW,162930
2002-07,QLD,131800
2002-07,TAS,1300
2002-07,ACT,4920
2002-07,NT,6430
2002-07,WA,33600
2002-07,VIC,66780
2002-07,SA,10220
2002-08,NSW,146170
2002-08,QLD,119760
2002-08,TAS,1370
2002-08,ACT,2810
2002-08,NT,6710
2002-08,WA,31970
2002-08,VIC,55000
2002-08,SA,8140
2002-09,NSW,137380
2002-09,QLD,110640
2002-09,TAS,1270
2002-09,ACT,2900
2002-09,NT,6420
2002-09,WA,34740
2002-09,VIC,58250
2002-09,SA,6940
2002-10,NSW,173850
2002-10,QLD,120690
2002-10,TAS,2200
2002-10,ACT,4270
2002-10,NT,5500
2002-10,WA,42900
2002-10,VIC,71010
2002-10,SA,8450
2002-11,NSW,170310
2002-11,QLD,122380
2002-11,TAS,3190
2002-11,ACT,3500
2002-11,NT,5620
2002-11,WA,48100
2002-11,VIC,71640
2002-11,SA,12220
2002-12,NSW,217700
2002-12,QLD,130670
2002-12,TAS,5590
2002-12,ACT,4550
2002-12,NT,3860
2002-12,WA,60280
2002-12,VIC,96260
2002-12,SA,15050
2003-01,NSW,163840
2003-01,QLD,103470
2003-01,TAS,3590
2003-01,ACT,4100
2003-01,NT,3060
2003-01,WA,38610
2003-01,VIC,70800
2003-01,SA,9160
2003-02,NSW,173750
2003-02,QLD,101110
2003-02,TAS,5490
2003-02,ACT,4820
2003-02,NT,3700
2003-02,WA,43520
2003-02,VIC,83700
2003-02,SA,11400
2003-03,NSW,158770
2003-03,QLD,97870
2003-03,TAS,3160
2003-03,ACT,3700
2003-03,NT,3690
2003-03,WA,40680
2003-03,VIC,74060
2003-03,SA,10500
2003-04,NSW,129290
2003-04,QLD,91830
2003-04,TAS,2440
2003-04,ACT,3390
2003-04,NT,2820
2003-04,WA,32710
2003-04,VIC,51400
2003-04,SA,7640
2003-05,NSW,102650
2003-05,QLD,79590
2003-05,TAS,1440
2003-05,ACT,2260
2003-05,NT,4620
2003-05,WA,24990
2003-05,VIC,40130
2003-05,SA,5220
2003-06,NSW,116150
2003-06,QLD,99630
2003-06,TAS,1450
2003-06,ACT,2840
2003-06,NT,4470
2003-06,WA,28450
2003-06,VIC,49120
2003-06,SA,6110
2003-07,NSW,163600
2003-07,QLD,131360
